nk_Deal,annual_interest_rate,nb_TotalPayments,dt_LastPaymentDate,dt_LoanStartDate,dt_NextPaymentDate,am_EstimatedBalance
1,0.0585,42,10/02/2024,20/07/2022,10/03/2024,27383
2,0.1155,85,10/02/2024,24/08/2023,10/03/2024,104625
3,5.7,45,27/11/2023,10/03/2021,31/05/2023,114094.48
4,7.3,30,10/04/2023,21/09/2021,27/06/2023,69984.83
5,2.17,32,06/12/2023,23/12/2020,31/07/2023,50138.3
6,3.61,46,15/11/2023,21/11/2023,12/11/2023,72966.04
7,4.28,52,01/11/2023,04/02/2024,01/11/2023,93401.43
8,2.42,36,19/08/2023,22/04/2021,13/12/2023,149579.93
9,6.69,34,05/02/2023,23/11/2023,24/05/2023,106474.95
10,8.42,51,05/01/2024,27/08/2023,14/03/2024,79148.17
11,10.84,56,17/03/2023,01/07/2019,15/10/2023,61502.14
12,7.02,33,27/09/2023,05/03/2022,11/07/2023,88173.77
13,7.68,30,03/03/2024,27/12/2020,04/12/2023,93912.14
14,10.23,36,12/07/2023,22/10/2022,28/02/2024,75381.06
15,10.29,34,10/07/2023,21/08/2019,24/07/2023,93400.05
16,8.79,46,02/12/2023,30/03/2020,05/10/2023,110907.91
17,6.71,42,04/03/2023,12/08/2022,27/12/2023,41821.08
18,8.69,31,21/03/2023,12/01/2019,24/08/2023,23411.12
19,11.35,54,10/08/2023,24/03/2020,23/12/2023,124792.58
20,8.47,35,06/10/2023,04/04/2020,15/03/2024,90499.31
21,7.69,58,23/08/2023,02/06/2023,10/01/2024,98257.58
22,6.19,45,17/09/2023,10/05/2021,25/12/2023,56290.43
23,10.17,43,23/02/2023,13/10/2022,13/04/2024,149136.71
24,4.83,47,19/05/2023,23/05/2022,29/06/2023,58354.55
25,8.83,40,22/11/2023,21/02/2019,22/10/2023,73407.96
26,2.02,56,04/04/2023,01/05/2019,06/12/2023,102046.96
27,11.69,43,03/09/2023,18/10/2019,14/11/2023,131705.58
28,8.19,48,19/07/2023,23/07/2021,20/10/2023,4229.08
